# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00022.dat
#       2th_deg             I 
  4.414558e+01    1.460676e+03
  4.424954e+01    1.453436e+03
  4.435349e+01    1.447869e+03
  4.445745e+01    1.444022e+03
  4.456141e+01    1.442398e+03
  4.466537e+01    1.438821e+03
  4.476932e+01    1.435752e+03
  4.487328e+01    1.434775e+03
  4.497724e+01    1.429702e+03
  4.508120e+01    1.422951e+03
  4.518515e+01    1.417721e+03
  4.528911e+01    1.418363e+03
  4.539307e+01    1.413627e+03
  4.549702e+01    1.409257e+03
  4.560098e+01    1.405777e+03
  4.570494e+01    1.402427e+03
  4.580890e+01    1.397530e+03
  4.591285e+01    1.395085e+03
  4.601681e+01    1.386825e+03
  4.612077e+01    1.379549e+03
  4.622473e+01    1.378328e+03
  4.632868e+01    1.373125e+03
  4.643264e+01    1.368291e+03
  4.653660e+01    1.366031e+03
  4.664056e+01    1.361494e+03
  4.674451e+01    1.362483e+03
  4.684847e+01    1.359368e+03
  4.695243e+01    1.355339e+03
  4.705639e+01    1.351117e+03
  4.716034e+01    1.349994e+03
  4.726430e+01    1.344686e+03
  4.736826e+01    1.342057e+03
  4.747222e+01    1.341572e+03
  4.757617e+01    1.338683e+03
  4.768013e+01    1.339679e+03
  4.778409e+01    1.337785e+03
  4.788805e+01    1.335476e+03
  4.799200e+01    1.331867e+03
  4.809596e+01    1.329517e+03
  4.819992e+01    1.326542e+03
  4.830388e+01    1.320307e+03
  4.840783e+01    1.314159e+03
  4.851179e+01    1.309986e+03
  4.861575e+01    1.307320e+03
  4.871971e+01    1.302103e+03
  4.882366e+01    1.299079e+03
  4.892762e+01    1.293081e+03
  4.903158e+01    1.289414e+03
  4.913554e+01    1.286320e+03
  4.923949e+01    1.287856e+03
  4.934345e+01    1.283034e+03
  4.944741e+01    1.280286e+03
  4.955136e+01    1.278910e+03
  4.965532e+01    1.274129e+03
  4.975928e+01    1.275691e+03
  4.986324e+01    1.263069e+03
  4.996719e+01    1.258033e+03
  5.007115e+01    1.252877e+03
  5.017511e+01    1.245590e+03
  5.027907e+01    1.240821e+03
  5.038302e+01    1.233697e+03
  5.048698e+01    1.225423e+03
  5.059094e+01    1.213198e+03
  5.069490e+01    1.216135e+03
  5.079885e+01    1.213213e+03
  5.090281e+01    1.214204e+03
  5.100677e+01    1.211456e+03
  5.111073e+01    1.209446e+03
  5.121468e+01    1.215556e+03
  5.131864e+01    1.207577e+03
  5.142260e+01    1.198937e+03
  5.152656e+01    1.198283e+03
  5.163051e+01    1.200668e+03
  5.173447e+01    1.182849e+03
  5.183843e+01    1.164322e+03
  5.194239e+01    1.144845e+03
